fighter,Age,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,CurrentLoseStreak,CurrentWinStreak,DecOdds,Draws,ExpectedValue,HeightCms,LongestWinStreak,Losses,Odds,ReachCms,TotalRoundsFought,TotalTitleBouts,WeightLbs,Wins,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage
Jafel Filho,29.666666666666668,2.36,0.41,2.6,1.7700000000000002,0.33,0.3333333333333333,0.6666666666666666,850.0,0.0,340.45455,170.18,1.0,0.6666666666666666,240.0,172.72,5.333333333333333,0.0,125.0,1.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
Danny Silva,27.0,8.3,0.58,0.5,3.0,0.5,0.0,1.0,,0.0,,180.34,1.0,0.0,,177.8,3.0,0.0,145.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Mitch Ramirez,31.0,2.37,0.42,0.0,0.91,1.0,1.0,0.0,,0.0,,180.34,0.0,1.0,,180.34,2.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Della Maddalena,26.0,6.815714285714287,0.5285714285714287,0.2285714285714286,0.23142857142857146,0.16571428571428573,0.0,4.0,392.85714285714283,0.0,41.78668571428572,180.33999999999997,4.0,0.0,-357.14285714285717,185.42000000000002,6.857142857142857,0.0,170.0,4.0,0.0,0.42857142857142855,1.0,2.142857142857143,0.42857142857142855,0.0
Song Yadong,22.76923076923077,6.296666666666667,0.40166666666666667,0.42500000000000004,0.6033333333333334,0.48500000000000004,0.15384615384615385,1.9230769230769231,233.33333333333334,0.6923076923076923,78.05597499999999,172.71999999999997,3.230769230769231,0.7692307692307693,-119.83333333333333,170.18,15.692307692307692,0.0,136.53846153846155,5.3076923076923075,0.0,0.46153846153846156,1.3846153846153846,2.230769230769231,0.8461538461538461,0.0
Katlyn Cerminara,35.0,4.58,0.34,0.3,0.31,0.15,1.0,0.0,215.0,0.0,154.0,175.26,4.0,5.0,154.0,172.72,46.0,1.0,125.0,11.0,0.0,2.0,9.0,0.0,0.0,0.0
Maycee Barber,22.545454545454547,11.704444444444444,0.565,0.13,1.2849999999999997,0.358,0.2727272727272727,1.9090909090909092,174.0909090909091,0.0,63.94204545454545,165.09999999999997,3.1818181818181817,1.1818181818181819,-227.1818181818182,165.09999999999997,13.636363636363637,0.0,125.0,4.454545454545454,0.0,0.6363636363636364,0.6363636363636364,3.3636363636363638,0.0,0.0
Philipe Lins,36.0,2.9883333333333333,0.395,0.0,1.0999999999999999,0.22,0.5,1.0,349.5,0.0,87.76190000000001,187.96,1.0,1.5,-24.833333333333332,198.12,5.5,0.0,216.66666666666666,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
Josh Parisian,32.42857142857143,5.192857142857143,0.4928571428571429,0.6142857142857142,0.7614285714285715,0.2557142857142857,0.7142857142857143,0.5714285714285714,509.2857142857143,0.0,148.22717142857144,193.04,2.0,1.8571428571428572,51.285714285714285,200.66000000000003,10.285714285714286,0.0,265.0,3.142857142857143,0.0,0.7142857142857143,0.0,2.4285714285714284,0.0,0.0
Joanne Wood,36.5,7.1,0.51,0.3,1.52,0.55,1.5,0.25,450.0,0.0,200.2721,167.64,2.0,7.25,105.0,165.1,33.0,0.0,125.0,7.25,0.0,1.25,4.0,1.0,1.0,0.0
Maryna Moroz,27.181818181818183,17.078,0.3251,0.5966699999999999,0.39132999999999996,0.1359,0.45454545454545453,0.9090909090909091,287.0,0.0,130.50995555555556,170.18000000000004,1.8181818181818181,2.090909090909091,12.777777777777779,170.18000000000004,14.090909090909092,0.0,125.0,3.3636363636363638,0.0,0.6363636363636364,1.5454545454545454,0.0,1.1818181818181819,0.0
Tyson Pedro,28.0,8.46333,0.5917000000000001,0.69333,0.83667,0.37829999999999997,0.45454545454545453,0.7272727272727273,590.0,0.0,79.7554,190.5,1.7272727272727273,1.9090909090909092,-237.0909090909091,200.66000000000003,7.7272727272727275,0.0,205.0,3.090909090909091,0.0,0.0,0.0,1.5454545454545454,1.5454545454545454,0.0
Bekzat Almakhan,26.0,0.2,0.18,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,800.0,170.18,0.0,0.0,800.0,172.72,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Pickett,33.333333333333336,2.695555555555556,0.48777777777777775,0.16666666666666666,1.3044444444444447,0.4,1.5555555555555556,0.3333333333333333,701.875,0.0,279.0232,187.96,1.5555555555555556,4.888888888888889,233.66666666666666,203.2,14.11111111111111,0.0,185.0,2.2222222222222223,0.0,0.0,1.2222222222222223,0.8888888888888888,0.0,0.0
Benardo Sopaj,23.0,3.06,0.52,0.0,3.06,0.75,0.0,0.0,,0.0,114.0,167.64,0.0,0.0,114.0,167.64,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javid Basharat,27.0,5.42,0.53,0.2,1.7,0.4,0.0,2.5,143.75,0.0,37.844674999999995,175.26,2.5,0.0,-386.25,175.26,8.0,0.0,135.0,2.5,0.0,0.0,1.5,0.0,1.0,0.0
Claudio Ribeiro,30.5,3.59,0.51,0.0,0.56,0.5,0.5,0.5,1100.0,0.0,167.991625,185.42,1.0,1.0,62.0,195.58,4.0,0.0,185.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0
AJ Cunningham,29.0,7.66,0.29,0.0,0.0,0.0,1.0,0.0,1200.0,0.0,800.0,177.8,0.0,1.0,800.0,180.34,2.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,28.0,4.14,0.34,0.0,2.32,0.3,0.0,1.0,165.0,0.0,74.0741,172.72,1.0,0.0,-135.0,175.26,3.0,0.0,155.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Yair Rodriguez,25.857142857142858,27.78509230769231,0.45907692307692305,1.5917615384615387,1.180223076923077,0.4110769230769231,0.21428571428571427,1.9285714285714286,330.0,0.0,108.3842153846154,180.34,4.5,0.8571428571428571,-76.61538461538461,180.34,20.285714285714285,1.4285714285714286,145.0,5.642857142857143,0.0,1.5,2.0714285714285716,1.9285714285714286,0.14285714285714285,0.0
Francisco Prado,20.666666666666668,4.58,0.41,0.4000000000000001,0.0,0.0,0.3333333333333333,0.3333333333333333,700.0,0.0,194.7619,177.80000000000004,0.3333333333333333,0.6666666666666666,127.66666666666667,175.26,2.3333333333333335,0.0,155.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Cristian Quinonez,26.666666666666668,4.19,0.4000000000000001,0.0,1.37,0.36999999999999994,0.3333333333333333,1.0,315.0,0.0,103.48146666666666,172.72,1.6666666666666667,0.3333333333333333,32.333333333333336,177.80000000000004,4.0,0.0,135.0,1.6666666666666667,0.0,0.0,1.0,0.6666666666666666,0.0,0.0
Raoni Barcelos,33.54545454545455,19.682222222222222,0.5215,0.568,2.1740000000000004,0.5129,0.5454545454545454,1.4545454545454546,338.90909090909093,0.0,118.83328181818182,170.18000000000004,3.6363636363636362,1.0909090909090908,-211.63636363636363,170.18000000000004,13.090909090909092,0.0,135.0,3.909090909090909,0.0,0.0,1.4545454545454546,1.6363636363636365,0.8181818181818182,0.0
Mateus Mendonca,24.0,1.66,0.4000000000000001,0.4000000000000001,2.54,0.27,1.0,0.3333333333333333,550.0,0.0,197.03705,167.64,1.0,1.0,92.5,180.34,3.3333333333333335,0.0,125.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Daniel Lacerda,25.8,3.95,0.45,1.2,2.32,0.5,2.0,0.0,876.6666666666666,0.0,198.33333333333334,167.64,0.0,2.0,130.0,177.8,3.2,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Puelles,24.428571428571427,6.166666666666667,0.4749999999999999,0.9500000000000001,2.8383333333333334,0.345,0.2857142857142857,2.0,384.85714285714283,0.0,141.70807142857143,178.52571428571426,2.7142857142857144,1.0,54.285714285714285,182.87999999999997,9.571428571428571,0.7142857142857143,155.0,2.7142857142857144,0.0,0.0,1.2857142857142858,0.0,1.4285714285714286,0.0
Denys Bondar,30.0,4.59,0.5,0.0,3.99,0.58,1.0,0.0,200.0,0.0,90.21125,167.64,0.0,1.0,-16.0,175.26,1.6666666666666667,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Silva,35.5,2.07,0.7,0.0,3.76,0.8,0.5,0.5,675.0,0.0,255.0,175.26,1.0,0.5,255.0,180.34,2.5,0.0,145.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Alexander Volkanovski,31.3125,32.390235714285716,0.5884666666666667,0.23466666666666666,2.48378,0.49039999999999995,0.125,4.9375,199.0,0.0,91.57709333333334,167.64,7.125,0.25,-144.8,180.419375,23.875,3.1875,145.0,7.25,0.0,0.4375,4.0625,2.75,0.0,0.0
Henry Cejudo,30.642857142857142,41.87161538461539,0.4574615384615384,0.19453846153846152,1.9557538461538466,0.39330769230769225,0.2857142857142857,2.2142857142857144,121.64285714285714,0.0,119.46407142857143,162.55999999999997,3.642857142857143,1.2857142857142858,-161.21428571428572,162.55999999999997,17.857142857142858,1.7142857142857142,135.0,5.214285714285714,0.0,1.0714285714285714,3.0,1.1428571428571428,0.0,0.0
Marcos Rogerio de Lima,33.411764705882355,7.8402375,0.604125,0.48251875,0.6671874999999999,0.2521875,0.35294117647058826,0.7647058823529411,543.0833333333334,0.0,95.13419411764706,185.42,1.8235294117647058,3.764705882352941,-82.70588235294117,190.5,13.411764705882353,0.0,253.0,5.176470588235294,0.0,0.0,1.0,3.235294117647059,0.9411764705882353,0.0
Rinya Nakamura,27.666666666666668,3.53,0.54,1.6000000000000003,3.72,0.9,0.0,3.0,280.0,0.0,11.3632,170.18,3.0,0.0,-1000.0,172.72,3.6666666666666665,0.6666666666666666,135.0,3.0,0.0,0.0,0.3333333333333333,1.6666666666666667,1.0,0.0
Carlos Vera,36.0,0.8,0.48,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,850.0,167.64,0.0,0.0,850.0,175.26,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val Woodburn,29.5,1.6,0.35,0.0,1.92,1.0,0.5,0.0,1000.0,0.0,300.0,172.72,0.0,0.5,300.0,187.96,0.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Hermansson,30.823529411764707,24.696381249999998,0.489625,0.3329625,1.33604375,0.36243749999999997,0.35294117647058826,1.0,338.625,0.0,94.00741176470588,185.42,2.7058823529411766,2.5294117647058822,-81.41176470588235,195.58,17.0,0.0,185.0,5.470588235294118,0.0,0.0,1.7647058823529411,2.235294117647059,1.4705882352941178,0.0
Robert Bryczek,33.0,2.13,0.24,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,43.4783,182.88,0.0,0.0,-230.0,190.5,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Johnson,29.896551724137932,29.429885185185185,0.37550000000000006,0.02069642857142857,0.45367857142857143,0.3544642857142857,0.896551724137931,0.7931034482758621,322.5833333333333,0.0,110.5297827586207,177.80000000000007,3.1379310344827585,6.689655172413793,-65.82758620689656,185.42000000000002,34.758620689655174,0.896551724137931,147.75862068965517,7.310344827586207,0.0,0.3448275862068966,3.9655172413793105,3.0,0.0,0.0
Rodolfo Vieira,31.428571428571427,2.5485714285714285,0.4985714285714286,1.6857142857142857,4.8428571428571425,0.4014285714285714,0.2857142857142857,0.7142857142857143,657.1428571428571,0.0,51.516771428571424,182.87999999999997,1.5714285714285714,0.8571428571428571,-278.85714285714283,185.42000000000002,6.0,0.0,185.0,2.142857142857143,0.0,0.0,0.0,0.0,2.142857142857143,0.0
Loma Lookboonmee,25.25,4.9925,0.5874999999999999,0.05,1.5125,0.37124999999999997,0.25,0.875,36.42857142857143,0.0,75.50511428571428,154.94,1.375,1.125,-137.85714285714286,154.94,10.375,0.0,115.0,2.375,0.0,0.875,1.375,0.0,0.125,0.0
Devin Clark,29.470588235294116,14.31375,0.5646249999999999,0.22812500000000002,2.2172937499999996,0.43468749999999995,0.5294117647058824,0.5882352941176471,274.25,0.0,130.51781875,182.88,1.7058823529411764,3.764705882352941,7.75,190.5,18.764705882352942,0.0,205.0,4.235294117647059,0.0,0.0,4.0,0.23529411764705882,0.0,0.0
Jeremiah Wells,35.5,2.0083333333333333,0.35833333333333334,0.6666666666666666,2.566666666666667,0.3666666666666667,0.16666666666666666,1.6666666666666667,421.0,0.0,98.29033999999999,175.26,2.3333333333333335,0.16666666666666666,-79.6,187.96,4.333333333333333,0.0,170.0,2.3333333333333335,0.0,0.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.0
Zac Pauga,34.5,4.46,0.62,0.0,0.38,0.07,0.5,0.25,333.3333333333333,0.0,78.53753333333334,187.96,0.5,1.0,-136.33333333333334,193.04,3.75,0.0,205.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Fernie Garcia,30.5,2.04,0.34,0.6,0.28,0.5,1.5,0.25,525.0,0.0,287.3188333333333,170.18,1.0,1.5,220.0,170.18,5.5,0.0,135.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Gilbert Urbina,26.333333333333332,5.81,0.5766666666666667,0.5333333333333333,3.3866666666666667,0.4033333333333333,0.3333333333333333,0.3333333333333333,325.0,0.0,98.83893333333333,190.5,0.3333333333333333,0.6666666666666666,-57.333333333333336,190.5,2.0,0.0,175.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Diana Belbita,25.285714285714285,6.562857142857143,0.41428571428571426,0.0,0.9371428571428572,0.7342857142857143,0.7142857142857143,0.2857142857142857,316.3333333333333,0.0,152.34134,170.18000000000004,0.5714285714285714,2.142857142857143,-23.2,172.72,7.571428571428571,0.0,119.28571428571429,0.8571428571428571,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
Azat Maksum,28.5,2.8,0.23,0.5,2.0,0.22,0.0,0.5,230.0,0.0,24.6914,170.18,0.5,0.0,-405.0,177.8,1.5,0.0,125.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Pete Rodriguez,25.666666666666668,9.643333333333333,0.44,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,505.0,0.0,172.4074,175.26,0.3333333333333333,0.6666666666666666,-172.5,180.34,1.0,0.0,165.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Blake Bilder,32.333333333333336,3.81,0.48,0.6,0.31,0.07,0.3333333333333333,1.0,260.0,0.0,36.3636,172.72,1.6666666666666667,0.3333333333333333,-275.0,172.72,4.0,0.0,145.0,1.6666666666666667,0.0,0.0,0.6666666666666666,0.0,1.0,0.0
Julija Stoliarenko,28.25,2.6214285714285714,0.37857142857142856,1.4285714285714286,0.6642857142857144,0.19285714285714287,1.375,0.25,419.1666666666667,0.0,164.16666666666666,170.18,0.375,3.0,130.0,167.64,9.0,0.0,130.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Landon Quinones,27.5,6.77,0.4,0.0,0.5,0.33,0.5,0.0,800.0,0.0,350.0,175.26,0.0,0.5,350.0,177.8,1.5,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MarQuel Mederos,27.0,4.39,0.45,0.0,0.0,0.0,0.0,1.0,,0.0,,177.8,1.0,0.0,,175.26,1.0,0.0,155.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jamal Pogues,27.333333333333332,3.36,0.44,0.0,2.4,0.48,0.3333333333333333,1.6666666666666667,170.0,0.0,50.2825,190.5,2.6666666666666665,0.3333333333333333,-222.5,195.58,9.0,0.0,205.0,2.6666666666666665,0.0,0.0,2.6666666666666665,0.0,0.0,0.0
Ramon Taveras,30.0,4.63,0.45,0.0,0.0,0.0,0.0,1.0,800.0,0.0,164.0,172.72,1.0,1.0,164.0,177.8,2.0,0.0,135.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Polyana Viana,28.1,7.185555555555556,0.445,1.8111111111111111,1.008888888888889,0.36000000000000004,0.8,0.5,346.3,0.0,102.59232,165.09999999999997,1.3,2.5,-18.6,170.18,8.2,0.0,115.0,2.0,0.0,0.0,0.0,0.2,1.8,0.0
Yohan Lainesse,30.0,2.22,0.41,0.5,0.94,0.28,0.5,0.5,600.0,0.0,112.66515000000001,185.42,1.0,1.0,9.5,193.04,4.25,0.0,170.0,1.5,0.0,0.5,0.0,1.0,0.0,0.0
Priscila Cachoeira,32.0,7.423333333333334,0.37333333333333335,0.0,0.08333333333333333,0.18333333333333335,0.8,0.6,496.0,0.0,257.77777777777777,170.18,1.1,2.9,257.77777777777777,165.09999999999997,9.7,0.0,126.0,1.6,0.0,0.0,0.3,1.3,0.0,0.0
Malcolm Gordon,31.285714285714285,1.862857142857143,0.34857142857142864,0.5714285714285714,1.1928571428571428,0.2257142857142857,0.8571428571428571,0.42857142857142855,830.0,0.0,348.0,170.18000000000004,1.0,2.0,348.0,180.33999999999997,4.714285714285714,0.0,125.0,1.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0
